X,Y
529,23370.0
530,22781.0
531,23261.0
532,26454.0
533,32310.0
534,31808.0
535,23243.0
536,20661.0
537,19756.0
538,19593.0
539,24100.0
540,31664.0
541,31009.0
542,29909.0
543,21447.0
544,19991.0
545,19751.0
546,25232.0
547,32112.0
548,35101.0
549,27982.0
550,23393.0
551,23203.0
552,23244.0
553,28986.0
554,35117.0
555,35114.0
556,26544.0
557,21576.0
558,22460.0
559,23207.0
560,29134.0
561,41075.0
562,41523.0
563,24828.0
564,22412.0
565,21571.0
566,24128.0
567,27906.0
568,39241.0
569,39810.0
570,26774.0
571,22374.0
572,21826.0
573,22583.0
574,30370.0
575,39129.0
576,38012.0
577,36842.0
578,28994.0
579,29030.0
580,30512.0
581,39669.0
582,45203.0
583,49920.0
584,37540.0
585,33486.0
586,33647.0
587,31874.0
588,42692.0
589,55074.0
590,55114.0
591,39636.0
592,34565.0
593,33662.0
594,32317.0
595,44173.0
596,57856.0
597,59577.0
598,43073.0
599,43527.0
600,39911.0
601,36874.0
602,51905.0
603,60966.0
604,59850.0
605,41690.0
606,36317.0
607,34448.0
608,33947.0
609,48629.0
610,57410.0
611,57121.0
612,37969.0
613,34734.0
614,33638.0
615,34912.0
616,43945.0
617,54383.0
618,53949.0
619,39781.0
620,35805.0
621,35257.0
622,35880.0
623,42611.0
624,53884.0
625,52195.0
626,39624.0
627,38752.0
628,37616.0
629,39907.0
630,50365.0
631,52624.0
632,50884.0
633,46964.0
634,37995.0
635,36363.0
636,36635.0
637,45260.0
638,60288.0
639,58518.0
640,41272.0
641,37046.0
642,34159.0
643,33413.0
644,41801.0
645,56481.0
646,57671.0
647,41656.0
648,34590.0
649,34175.0
650,32625.0
651,43296.0
652,54938.0
653,57000.0
654,36694.0
655,32233.0
656,31407.0
657,32126.0
658,40663.0
659,56883.0
660,51475.0
661,32651.0
662,32357.0
663,30766.0
664,31703.0
665,42241.0
666,54866.0
667,53696.0
668,35000.0
669,33310.0
670,34967.0
671,35150.0
672,43717.0
673,49861.0
674,49442.0
675,49911.0
676,37445.0
677,37127.0
678,37020.0
679,45082.0
680,50276.0
681,52486.0
682,42950.0
683,42760.0
684,44228.0
685,43363.0
686,49445.0
687,49763.0
688,50978.0
689,46184.0
690,46198.0
691,46529.0
692,48804.0
693,53418.0
694,50505.0
695,48012.0
696,48299.0
697,48567.0
698,47372.0
699,49746.0
700,51299.0
701,50432.0
702,50674.0
703,52195.0
704,52913.0
705,53644.0
706,56167.0
707,60961.0
708,55894.0
709,54170.0
710,57976.0
711,55578.0
712,59453.0
713,60157.0
714,64493.0
715,58688.0
716,58119.0
717,63107.0
718,61332.0
719,59474.0
720,60002.0
721,59464.0
722,53359.0
723,53410.0
724,57862.0
725,56300.0
726,57916.0
727,57328.0
728,57532.0
729,51967.0
730,53977.0
731,60964.0
732,60355.0
733,59381.0
734,59135.0
735,57921.0
736,56033.0
737,56722.0
738,62040.0
739,58712.0
740,58327.0
741,51017.0
742,54834.0
743,51214.0
744,53584.0
745,56696.0
746,55823.0
747,57227.0
748,51781.0
749,52054.0
750,52755.0
751,51577.0
752,50388.0
753,50169.0
754,47519.0
755,47112.0
756,48295.0
757,56464.0
758,54192.0
759,47941.0
760,46115.0
761,44541.0
762,43831.0
763,46331.0
764,56183.0
765,56243.0
766,44717.0
767,43592.0
768,43466.0
769,42926.0
770,46288.0
771,58403.0
772,56996.0
773,57240.0
774,37876.0
775,35993.0
776,35285.0
777,43200.0
778,59574.0
779,57375.0
780,36466.0
781,33259.0
782,32605.0
783,32184.0
784,41383.0
785,56691.0
786,55801.0
787,35931.0
788,29969.0
789,30743.0
790,35620.0
791,41723.0
792,56734.0
793,56962.0
794,36978.0
795,32078.0
796,32388.0
797,33150.0
798,41258.0
799,57532.0
800,56950.0
801,39068.0
802,33524.0
803,31964.0
804,33271.0
805,43543.0
806,60233.0
807,57571.0
808,45401.0
809,34366.0
810,31104.0
811,32807.0
812,43199.0
813,58514.0
814,56505.0
815,38751.0
816,31621.0
817,30541.0
818,32385.0
819,41825.0
820,55143.0
821,54175.0
822,35810.0
823,31463.0
824,28338.0
825,31056.0
826,38519.0
827,50045.0
828,50767.0
829,32485.0
830,27436.0
831,31282.0
832,31565.0
833,43880.0
834,54654.0
835,53221.0
836,33931.0
837,31898.0
838,28895.0
839,30741.0
840,46014.0
841,52776.0
842,51376.0
843,32432.0
844,27409.0
845,27806.0
846,27960.0
847,35939.0
848,50192.0
849,48193.0
850,34431.0
851,34719.0
852,43593.0
853,41494.0
854,49543.0
855,50464.0
856,48853.0
857,32909.0
858,27142.0
859,28168.0
860,27507.0
861,37539.0
862,52696.0
